"Pack_ID","Deer_2015","Deer_2016","Deer_2017","Deer_2018","Deer_2019","Deer_2020","Deer_2021","Deer_2022","Deer_2023","Deer_2024","Deer_2025","Deer_2026","Deer_2027","Deer_2028","Deer_2029","Deer_2030","Deer_2031","Deer_2032","Deer_2033","Deer_2034","Deer_2035","Deer_2036","Deer_2037","Deer_2038","Deer_2039","Deer_2040","Deer_2041","Deer_2042","Deer_2043","Deer_2044","Deer_2045"
11,2945,2944.5,2944,2943.5,2943,2942.5,2942,2941.5,2941,2940.5,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940
12,3167,3166.8,3166.6,3166.4,3166.2,3166,3165.8,3165.6,3165.4,3165.2,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165
13,2525,2524.8,2524.6,2524.4,2524.2,2524,2523.8,2523.6,2523.4,2523.2,2523,2523,2523,2523,2523,2523,2523,2523,2523,2523,2523,2522.8,2522.6,2522.4,2522.2,2522,2521.8,2521.6,2521.4,2521.2,2521
14,1917,1908,1899,1890,1881,1872,1863,1854,1845,1836,1827,1823.4,1819.8,1816.2,1812.6,1809,1805.4,1801.8,1798.2,1794.6,1791,1788.1,1785.2,1782.3,1779.4,1776.5,1773.6,1770.7,1767.8,1764.9,1762
15,1914,1909.6,1905.2,1900.8,1896.4,1892,1887.6,1883.2,1878.8,1874.4,1870,1868.5,1867,1865.5,1864,1862.5,1861,1859.5,1858,1856.5,1855,1851.7,1848.4,1845.1,1841.8,1838.5,1835.2,1831.9,1828.6,1825.3,1822
16,2019,2000.3,1981.6,1962.9,1944.2,1925.5,1906.8,1888.1,1869.4,1850.7,1832,1828.9,1825.8,1822.7,1819.6,1816.5,1813.4,1810.3,1807.2,1804.1,1801,1768.1,1735.2,1702.3,1669.4,1636.5,1603.6,1570.7,1537.8,1504.9,1472
17,1121,1117.9,1114.8,1111.7,1108.6,1105.5,1102.4,1099.3,1096.2,1093.1,1090,1085,1080,1075,1070,1065,1060,1055,1050,1045,1040,1035.7,1031.4,1027.1,1022.8,1018.5,1014.2,1009.9,1005.6,1001.3,997
18,1573,1508.4,1443.8,1379.2,1314.6,1250,1185.4,1120.8,1056.2,991.600000000001,927,915.5,904,892.5,881,869.5,858,846.5,835,823.5,812,811.2,810.4,809.6,808.8,808,807.2,806.4,805.6,804.8,804
19,2859,2851,2843,2835,2827,2819,2811,2803,2795,2787,2779,2767.2,2755.4,2743.6,2731.8,2720,2708.2,2696.4,2684.6,2672.8,2661,2657.7,2654.4,2651.1,2647.8,2644.5,2641.2,2637.9,2634.6,2631.3,2628
20,1895,1874.7,1854.4,1834.1,1813.8,1793.5,1773.2,1752.9,1732.6,1712.3,1692,1686.8,1681.6,1676.4,1671.2,1666,1660.8,1655.6,1650.4,1645.2,1640,1629.6,1619.2,1608.8,1598.4,1588,1577.6,1567.2,1556.8,1546.4,1536
21,1287,1253,1219,1185,1151,1117,1083,1049,1015,981,947,946.9,946.8,946.7,946.6,946.5,946.4,946.3,946.2,946.1,946,933.9,921.8,909.7,897.6,885.5,873.4,861.3,849.2,837.1,825
22,1233,1207.8,1182.6,1157.4,1132.2,1107,1081.8,1056.6,1031.4,1006.2,981,971.4,961.8,952.2,942.6,933,923.4,913.8,904.2,894.6,885,873.6,862.2,850.8,839.4,828,816.6,805.2,793.8,782.4,771
23,2997,2981.7,2966.4,2951.1,2935.8,2920.5,2905.2,2889.9,2874.6,2859.3,2844,2843.1,2842.2,2841.3,2840.4,2839.5,2838.6,2837.7,2836.8,2835.9,2835,2830.3,2825.6,2820.9,2816.2,2811.5,2806.8,2802.1,2797.4,2792.7,2788
24,1478,1471.2,1464.4,1457.6,1450.8,1444,1437.2,1430.4,1423.6,1416.8,1410,1409.5,1409,1408.5,1408,1407.5,1407,1406.5,1406,1405.5,1405,1393.4,1381.8,1370.2,1358.6,1347,1335.4,1323.8,1312.2,1300.6,1289
25,3169,3128.3,3087.6,3046.9,3006.2,2965.5,2924.8,2884.1,2843.4,2802.7,2762,2749.6,2737.2,2724.8,2712.4,2700,2687.6,2675.2,2662.8,2650.4,2638,2584.7,2531.4,2478.1,2424.8,2371.5,2318.2,2264.9,2211.6,2158.3,2105
26,2552,2543.5,2535,2526.5,2518,2509.5,2501,2492.5,2484,2475.5,2467,2464.8,2462.6,2460.4,2458.2,2456,2453.8,2451.6,2449.4,2447.2,2445,2444.8,2444.6,2444.4,2444.2,2444,2443.8,2443.6,2443.4,2443.2,2443
27,2146,2135.3,2124.6,2113.9,2103.2,2092.5,2081.8,2071.1,2060.4,2049.7,2039,2030.2,2021.4,2012.6,2003.8,1995,1986.2,1977.4,1968.6,1959.8,1951,1946,1941,1936,1931,1926,1921,1916,1911,1906,1901
28,2812,2807.5,2803,2798.5,2794,2789.5,2785,2780.5,2776,2771.5,2767,2752.9,2738.8,2724.7,2710.6,2696.5,2682.4,2668.3,2654.2,2640.1,2626,2620.4,2614.8,2609.2,2603.6,2598,2592.4,2586.8,2581.2,2575.6,2570
29,4040,4030.4,4020.8,4011.2,4001.6,3992,3982.4,3972.8,3963.2,3953.6,3944,3943.9,3943.8,3943.7,3943.6,3943.5,3943.4,3943.3,3943.2,3943.1,3943,3929,3915,3901,3887,3873,3859,3845,3831,3817,3803
30,2019,2015.9,2012.8,2009.7,2006.6,2003.5,2000.4,1997.3,1994.2,1991.1,1988,1975.1,1962.2,1949.3,1936.4,1923.5,1910.6,1897.7,1884.8,1871.9,1859,1858.1,1857.2,1856.3,1855.4,1854.5,1853.6,1852.7,1851.8,1850.9,1850
31,1078,1076.3,1074.6,1072.9,1071.2,1069.5,1067.8,1066.1,1064.4,1062.7,1061,1060.1,1059.2,1058.3,1057.4,1056.5,1055.6,1054.7,1053.8,1052.9,1052,1049.6,1047.2,1044.8,1042.4,1040,1037.6,1035.2,1032.8,1030.4,1028
