"year","mean","median","lcl","ucl"
2015,0.350766614746441,0.35,0.314285714285714,0.389937106918239
2016,0.328206736256725,0.326388888888889,0.278145695364238,0.386363636363636
2017,0.317932845313442,0.31498031496063,0.266187050359712,0.373333333333333
2018,0.319053185175378,0.316548338020377,0.269230769230769,0.375
2019,0.312064991992602,0.311244178310047,0.261904761904762,0.368098159509202
2020,0.314009738347795,0.311475409836066,0.266871165644172,0.375
2021,0.316894288193211,0.315999323950587,0.266233766233766,0.372413793103448
2022,0.319345095659065,0.316345083487941,0.271276595744681,0.375
2023,0.316867762698073,0.317176811994749,0.265873015873016,0.369565217391304
2024,0.316108720602049,0.31434809731753,0.264150943396226,0.369047619047619
2025,0.314853819201438,0.313432835820896,0.266666666666667,0.366863905325444
2026,0.317899935362571,0.316952088212334,0.267716535433071,0.370558375634518
2027,0.31821312566191,0.316734030047825,0.266666666666667,0.368715083798883
2028,0.317069868614378,0.317033317391997,0.266187050359712,0.368421052631579
2029,0.318032954032972,0.319015832550651,0.26984126984127,0.366120218579235
2030,0.318360459762856,0.317567567567568,0.271493212669683,0.369565217391304
2031,0.318400848912761,0.319168622495035,0.265822784810127,0.37125748502994
2032,0.315634713644602,0.31578947368421,0.26775956284153,0.366013071895425
2033,0.318991301476801,0.317732671339564,0.269230769230769,0.371794871794872
2034,0.317610954960785,0.316978874883287,0.269938650306748,0.366666666666667
2035,0.315228813714706,0.31462424306066,0.26605504587156,0.367441860465116
2036,0.317171899445881,0.316866545809511,0.268817204301075,0.368965517241379
2037,0.316899970368994,0.317112637145789,0.267175572519084,0.365384615384615
2038,0.316052408161415,0.314663529616801,0.266447368421053,0.369294605809129
2039,0.315898088574114,0.314784456587735,0.270627062706271,0.364754098360656
2040,0.314132410930244,0.31369455463397,0.268041237113402,0.362869198312236
2041,0.314881735454818,0.314777925335694,0.266666666666667,0.363636363636364
2042,0.315390466519622,0.315001779042875,0.266666666666667,0.361204013377926
2043,0.316407580480298,0.316167929292929,0.270769230769231,0.364016736401674
2044,0.316959420882741,0.315870196964805,0.269911504424779,0.364583333333333
2045,0.315420696893765,0.316266032104541,0.263157894736842,0.366071428571429
