"Scen","Med","Lcl","Ucl"
"base",0.258064516129032,0,0.741935483870968
"A",0,0,0
"B",0.258064516129032,0,0.774193548387097
"C",0.225806451612903,0,0.774193548387097
"D",0.67741935483871,0.387096774193548,0.935483870967742
"E",0.709677419354839,0.419354838709677,0.935483870967742
