"Sen","Med.pct","Lcl.pct","Ucl.pct","Med","Lcl","Ucl"
"diet.9.5",0.507352941176471,-0.470588235294118,1.24264705882353,205,72,305
"diet.15",0.462121212121212,-0.454545454545455,0.96969696969697,193,72,260
"diet.20.5",0.454545454545455,-0.378787878787879,0.93939393939394,192,82,256
"diet.26",0.283582089552239,-0.462686567164179,0.708955223880597,172,72,229
