"Sen","Med.pct","Lcl.pct","Ucl.pct","Med","Lcl","Ucl"
"clim.low",-0.284345594525235,-0.440718562874251,-0.165782720273738,4183,3269,4876
"clim.mid",-0.288609543355567,-0.438344450145374,-0.164186762442278,4159.5,3284,4887
"clim.max",-0.306411679330658,-0.487065653547341,-0.184666609749851,4062,3004,4775
