"Sen","Med.pct","Lcl.pct","Ucl.pct","Med","Lcl","Ucl"
"TrapNone",1.86832740213523,1.32740213523132,2.52313167259786,403,327,495
"Trap0",1.97378277153558,1.46441947565543,2.43071161048689,397,329,458
"Trap20",0.541666666666667,-0.477272727272727,1.15151515151515,203.5,69,284
"Trap30",-0.288389513108614,-0.880149812734082,0.288389513108614,95,16,172
"Trap100",-0.328358208955224,-0.895522388059702,0.261194029850746,90,14,169
