"Scen","Med.pct","Lcl.pct","Ucl.pct","Med","Lcl","Ucl"
"base",-0.266330369357045,-0.432455540355677,-0.134575923392613,4290.5,3319,5061
"A",-0.589918838103375,-0.78334045279795,-0.420418624519436,2400,1268,3392
"B",-0.293455072958444,-0.447393122280058,-0.167676422902978,4140,3238,4877
"C",-0.312004095213719,-0.469328555583995,-0.191024656599266,4032,3110,4741
"D",-0.270936804247303,-0.406576468573386,-0.215619112861791,4257,3465,4580
"E",-0.199230111206159,-0.377245508982036,0.162962962962963,4680.5,3640,5013
