"Scen","Med.pct","Lcl.pct","Ucl.pct","Med","Lcl","Ucl"
"base",-0.0922724337695645,-0.232809189046627,-0.00608419654956028,49905.5,42179,54644
"A",-0.349057458763821,-0.52347290193946,-0.221025919883995,35912.5,26290,42976
"B",-0.10180991359709,-0.240964074579354,-0.0178262846748522,49378,41728,53995
"C",-0.119069210679048,-0.262333139872316,-0.0383778293673825,48571,40672,53020
"D",-0.0858189619905635,-0.205974599769089,-0.0467186065327867,50279.5,43671,52430
"E",-0.1751516198547,-0.30193946116986,-0.136653361096209,45358,38386,47475
