"Sen","Med.pct","Lcl.pct","Ucl.pct","Med","Lcl","Ucl"
"diet.9.5",0.660377358490566,-0.358490566037736,1.51572327044025,132,51,200
"diet.15",0.515527950310559,-0.453416149068323,1.03726708074534,122,44,164
"diet.20.5",0.51875,-0.4375,1.025,121.5,45,162
"diet.26",0.3375,-0.375,0.8125,107,50,145
