"q.threshold.n","q.prob","q.lcl","q.ucl","e.prob","e.lcl","e.ucl","perc.yrs","perc.lcl","perc.ucl"
0,0.026,0.015873409066102,0.036126590933898,0.028,0.017480333917581,0.038519666082419,0.00761290322580645,0,0.0330645161290315
1,0.028,0.017480333917581,0.038519666082419,0.028,0.017480333917581,0.038519666082419,0.00816129032258064,0,0.0645161290322581
2,0.04,0.0273482544023891,0.0526517455976109,0.028,0.017480333917581,0.038519666082419,0.00970967741935484,0,0.0967741935483871
3,0.044,0.0307030062855921,0.0572969937144079,0.028,0.017480333917581,0.038519666082419,0.0112903225806452,0,0.161290322580645
4,0.046,0.0323899161813249,0.0596100838186751,0.028,0.017480333917581,0.038519666082419,0.0134516129032258,0,0.225806451612903
5,0.053,0.0383371289030164,0.0676628710969836,0.028,0.017480333917581,0.038519666082419,0.0168387096774194,0,0.290322580645161
6,0.061,0.045202506231314,0.076797493768686,0.028,0.017480333917581,0.038519666082419,0.0193225806451613,0,0.323387096774193
7,0.069,0.0521264766727964,0.0858735233272036,0.028,0.017480333917581,0.038519666082419,0.0225161290322581,0,0.355645161290322
8,0.08,0.0617229057584898,0.0982770942415102,0.028,0.017480333917581,0.038519666082419,0.0256774193548387,0,0.419354838709677
9,0.088,0.0687469300693529,0.107253069930647,0.028,0.017480333917581,0.038519666082419,0.0286451612903226,0,0.451612903225806
10,0.097,0.0766858776736116,0.117314122326388,0.028,0.017480333917581,0.038519666082419,0.0321935483870968,0,0.516935483870967
11,0.109,0.0873214381267258,0.130678561873274,0.028,0.017480333917581,0.038519666082419,0.0361290322580645,0,0.548387096774194
12,0.118,0.0953294121038832,0.140670587896117,0.028,0.017480333917581,0.038519666082419,0.0401612903225806,0,0.580645161290323
13,0.126,0.102466548469018,0.149533451530982,0.028,0.017480333917581,0.038519666082419,0.0445806451612903,0,0.612903225806452
14,0.138,0.113200553856944,0.162799446143056,0.028,0.017480333917581,0.038519666082419,0.0494516129032258,0,0.645161290322581
15,0.145,0.119475513419372,0.170524486580628,0.028,0.017480333917581,0.038519666082419,0.0544838709677419,0,0.678225806451612
16,0.158,0.131150971920969,0.184849028079031,0.028,0.017480333917581,0.038519666082419,0.0599032258064516,0,0.709677419354839
17,0.171,0.142850099683717,0.199149900316283,0.028,0.017480333917581,0.038519666082419,0.0663225806451613,0,0.741935483870968
18,0.186,0.156372136097749,0.215627863902251,0.028,0.017480333917581,0.038519666082419,0.0729677419354839,0,0.774999999999999
19,0.196,0.165397558059261,0.226602441940739,0.028,0.017480333917581,0.038519666082419,0.079516129032258,0,0.806451612903226
20,0.208,0.176236734259446,0.239763265740554,0.028,0.017480333917581,0.038519666082419,0.0861290322580644,0,0.838709677419355
21,0.218,0.185274903066462,0.250725096933538,0.028,0.017480333917581,0.038519666082419,0.0930967741935483,0,0.839516129032257
22,0.239,0.204265368688409,0.273734631311591,0.028,0.017480333917581,0.038519666082419,0.100064516129032,0,0.870967741935484
23,0.244,0.208788049166775,0.279211950833225,0.028,0.017480333917581,0.038519666082419,0.106677419354839,0,0.870967741935484
24,0.261,0.224165557096211,0.297834442903789,0.028,0.017480333917581,0.038519666082419,0.115290322580645,0,0.903225806451613
25,0.277,0.238635741622114,0.315364258377886,0.028,0.017480333917581,0.038519666082419,0.12441935483871,0,0.935483870967742
26,0.293,0.253099331254519,0.332900668745481,0.028,0.017480333917581,0.038519666082419,0.132612903225806,0,0.935483870967742
27,0.302,0.261230833607164,0.342769166392836,0.028,0.017480333917581,0.038519666082419,0.141451612903226,0,0.967741935483871
28,0.316,0.273871930153331,0.358128069846669,0.028,0.017480333917581,0.038519666082419,0.149903225806451,0,0.967741935483871
29,0.332,0.28830448302637,0.37569551697363,0.028,0.017480333917581,0.038519666082419,0.158935483870968,0,0.967741935483871
30,0.346,0.300917784923454,0.391082215076546,0.028,0.017480333917581,0.038519666082419,0.168419354838709,0,0.967741935483871
31,0.358,0.311716086778958,0.404283913221042,0.028,0.017480333917581,0.038519666082419,0.177354838709677,0,0.967741935483871
32,0.376,0.327887524939884,0.424112475060116,0.028,0.017480333917581,0.038519666082419,0.186903225806452,0,1
33,0.39,0.340440894701046,0.439559105298954,0.028,0.017480333917581,0.038519666082419,0.196741935483871,0,1
34,0.405,0.353864194655454,0.456135805344546,0.028,0.017480333917581,0.038519666082419,0.206870967741935,0,1
35,0.419,0.366364952809263,0.471635047190737,0.028,0.017480333917581,0.038519666082419,0.216548387096774,0,1
36,0.435,0.380615332717776,0.489384667282224,0.028,0.017480333917581,0.038519666082419,0.227935483870968,0,1
37,0.446,0.390387986649638,0.501612013350362,0.028,0.017480333917581,0.038519666082419,0.238064516129032,0,1
38,0.453,0.396595791514128,0.509404208485872,0.028,0.017480333917581,0.038519666082419,0.248193548387097,0,1
39,0.46,0.402794457662967,0.517205542337033,0.028,0.017480333917581,0.038519666082419,0.258064516129032,0,1
40,0.468,0.40986694028714,0.52613305971286,0.028,0.017480333917581,0.038519666082419,0.268548387096774,0,1
41,0.492,0.431003240049906,0.552996759950094,0.028,0.017480333917581,0.038519666082419,0.280451612903226,0,1
42,0.507,0.444145468824837,0.569854531175163,0.028,0.017480333917581,0.038519666082419,0.292032258064516,0,1
43,0.523,0.458099547281219,0.587900452718781,0.028,0.017480333917581,0.038519666082419,0.303838709677419,0,1
44,0.541,0.473710335781226,0.608289664218774,0.028,0.017480333917581,0.038519666082419,0.314774193548387,0,1
45,0.558,0.488359475052724,0.627640524947276,0.028,0.017480333917581,0.038519666082419,0.325967741935484,0,1
46,0.574,0.502053906460553,0.645946093539447,0.028,0.017480333917581,0.038519666082419,0.337032258064516,0,1
47,0.589,0.514801895998148,0.663198104001852,0.028,0.017480333917581,0.038519666082419,0.348741935483871,0,1
48,0.607,0.529971020951647,0.684028979048353,0.028,0.017480333917581,0.038519666082419,0.35983870967742,0,1
49,0.617,0.538331790370784,0.695668209629216,0.028,0.017480333917581,0.038519666082419,0.372483870967742,0,1
50,0.636,0.554071701141509,0.717928298858491,0.028,0.017480333917581,0.038519666082419,0.384548387096774,0,1
51,0.65,0.565534622477609,0.734465377522391,0.028,0.017480333917581,0.038519666082419,0.39658064516129,0,1
52,0.667,0.579280353760766,0.754719646239234,0.028,0.017480333917581,0.038519666082419,0.408741935483871,0,1
53,0.685,0.593600024313157,0.776399975686843,0.028,0.017480333917581,0.038519666082419,0.421935483870967,0,1
54,0.695,0.60143820311652,0.78856179688348,0.028,0.017480333917581,0.038519666082419,0.434225806451612,0,1
55,0.708,0.611488009120309,0.804511990879691,0.028,0.017480333917581,0.038519666082419,0.445806451612903,0,1
56,0.728,0.626600150829675,0.829399849170325,0.028,0.017480333917581,0.038519666082419,0.459129032258064,0,1
57,0.744,0.638337092601046,0.849662907398954,0.028,0.017480333917581,0.038519666082419,0.471161290322581,0,1
58,0.759,0.64900614125027,0.86899385874973,0.028,0.017480333917581,0.038519666082419,0.48416129032258,0,1
59,0.769,0.655912852055138,0.882087147944862,0.028,0.017480333917581,0.038519666082419,0.496741935483871,0,1
60,0.783,0.665264594082954,0.900735405917046,0.028,0.017480333917581,0.038519666082419,0.508483870967742,0,1
