"Sen","Med.pct","Lcl.pct","Ucl.pct","Med","Lcl","Ucl"
"diet.9.5",-0.241940985843425,-0.379157427937916,-0.156575132184888,4444.5,3640,4945
"diet.15",-0.357447898872566,-0.539289374786471,-0.190980526135975,3761.5,2697,4736
"diet.20.5",-0.353931623931624,-0.535897435897436,-0.196923076923077,3779.5,2715,4698
"diet.26",-0.436918083198087,-0.629281626377381,-0.227470743999317,3296,2170,4522
