"Sen","Med.pct","Lcl.pct","Ucl.pct","Med","Lcl","Ucl"
"TrapNone",-0.79958995386981,-0.868785238339313,-0.66376217324449,1173,768,1968
"Trap0",-0.62775349275735,-0.800462843918745,-0.454529870575126,2171.5,1164,3182
"Trap20",-0.291908501194947,-0.440764766131786,-0.167634004779788,4148,3276,4876
"Trap30",-0.203355015405683,-0.340979116740842,-0.144813420061623,4654,3850,4996
"Trap100",-0.200700615174299,-0.326896787423103,-0.145762132604238,4677.5,3939,4999
"Gone",-0.175752922105622,-0.294770070813071,-0.13608053920314,4830.5,4133,5063
