"Scen","Med","Lcl","Ucl"
"base",0.0645161290322581,0,0.225806451612903
"A",0,0,0
"B",0.0967741935483871,0,0.225806451612903
"C",0.0967741935483871,0,0.225806451612903
"D",0.161290322580645,0.032258064516129,0.290322580645161
"E",0.129032258064516,0.032258064516129,0.225806451612903
