"Sen","Med.pct","Lcl.pct","Ucl.pct","Med","Lcl","Ucl"
"TrapNone",-0.520496420394665,-0.629283715521314,-0.402769197223535,26389,20402,32868
"Trap0",-0.383795619111648,-0.542850393843862,-0.245073544776458,33912.5,25159,41547
"Trap20",-0.102315269145495,-0.234689056082579,-0.0208265183731327,49396,42112,53880
"Trap30",-0.0344056909756607,-0.161671315265879,0.00329793129764057,53141,46137,55216
"Trap100",-0.0320751115675813,-0.141234105596103,0.00386282868127573,53247,47242,55224
"Gone",0.00435579593096063,-0.0982413473928746,0.0175683769215412,55339,49686,56067
