"Sen","Med","Lcl","Ucl"
"TrapNone",0,0,0
"Trap0",0,0,0
"Trap20",0.0967741935483871,0,0.225806451612903
"Trap30",0.161290322580645,0.032258064516129,0.290322580645161
"Trap100",0.193548387096774,0.032258064516129,0.290322580645161
"Gone",0.290322580645161,0.0967741935483871,0.32258064516129
