"Sen","Med.pct","Lcl.pct","Ucl.pct","Med","Lcl","Ucl"
"roads.maxdecom",0.562962962962963,-0.466666666666667,1.18518518518519,211,72,295
"roads.middecom",0.5,-0.451851851851852,1.15555555555556,202.5,74,291
"roads.plandecom",0.541666666666667,-0.477272727272727,1.15151515151515,203.5,69,284
"roads.nochange",0.562962962962963,-0.466666666666667,1.11111111111111,211,72,285
"roads.maxbuild",0.618110236220472,-0.425196850393701,1.18897637795276,205.5,73,278
