"Sen","Med.pct","Lcl.pct","Ucl.pct","Med","Lcl","Ucl"
"K.nochange",0.603658536585366,-0.414634146341463,1.24390243902439,131.5,48,184
"K.base",0.6375,-0.4125,1.275,131,47,182
"K.transition",0.622641509433962,-0.446540880503145,1.30188679245283,129,44,183
"K.contharvest",0.641975308641975,-0.395061728395062,1.23456790123457,133,49,181
"K.midharvest",0.620253164556962,-0.443037974683544,1.29113924050633,128,44,181
"K.maxharvest",0.573170731707317,-0.439024390243902,1.20731707317073,129,46,181
