Sen,Med.pct,Lcl.pct,Ucl.pct,Med,Lcl,Ucl
clim.low,0.64,-0.48,1.28,131,42,182
clim.mid,0.64,-0.41,1.30,129.5,47,182
clim.max,0.59,-0.42,1.18,132,48,181
