"Sen","Med.pct","Lcl.pct","Ucl.pct","Med","Lcl","Ucl"
"TrapNone",2.65060240963855,1.95180722891566,3.51807228915663,303,245,375
"Trap0",2.77777777777778,2.14814814814815,3.34567901234568,306,255,352
"Trap20",0.622641509433962,-0.446540880503145,1.30188679245283,129,44,183
"Trap30",-0.2375,-0.875,0.3625,61,10,109
"Trap100",-0.302469135802469,-0.901234567901235,0.320987654320988,56.5,8,109
